ITU corrispondente,ritiro(0)/consegna(1)/entrambi(2),Orario di arrivo,Unnamed: 3
1,0,9.163268229,
2,0,10.2574515,
3,0,10.22961809,
4,0,15.73936546,
5,0,9.898321702,
6,0,11.83996558,
7,0,12.8661986,
8,0,13.35910405,
9,0,11.68105503,
10,0,14.23807842,
11,0,11.21264028,
12,0,11.35113004,
13,0,10.83240849,
14,0,14.09762218,
15,0,14.22849278,
16,0,13.114509,
17,0,11.72145522,
18,0,8.953334015,
19,0,8.676360795,
20,0,11.14907056,
21,0,9.418863689,
22,0,12.73248329,
23,0,13.48968277,
24,0,8.526707818,
25,0,10.23945976,
26,1,10.66472514,
27,1,12.28338241,
28,1,14.07321252,
29,1,14.18467713,
30,1,12.47798817,
31,1,11.42866145,
32,1,13.95650592,
33,1,12.26842664,
34,1,11.7344524,
35,1,16.45293212,
36,1,11.93668682,
37,1,13.09220558,
38,1,12.42335684,
39,1,11.65336689,
40,1,11.23947604,
41,1,8.448242586,
42,1,10.56726262,
43,1,13.21326617,
44,1,9.497392768,
45,1,9.298033826,
46,1,14.44883733,
47,1,11.34159134,
48,1,11.63261783,
49,1,9.336255399,
50,1,8.301395932,
51,0,12.09869456,
52,0,13.80866497,
53,0,11.0651294,
54,0,11.06952958,
55,0,10.00169736,
56,0,8.096628363,
57,0,11.38385374,
58,0,10.20464744,
59,0,13.92602125,
60,0,10.49172705,
61,0,13.18013676,
62,0,11.30683097,
63,0,11.26682836,
64,0,13.6094027,
65,0,10.70397236,
66,0,14.4835427,
67,0,9.76173805,
68,0,11.52958622,
69,0,14.1009209,
70,0,12.47554244,
71,0,12.28039137,
72,0,14.07373425,
73,0,12.96822649,
74,0,12.61285574,
75,0,10.8214946,
76,1,11.45090409,
77,1,10.36910079,
78,1,10.29744582,
79,1,13.33635724,
80,1,12.80459694,
81,1,11.84226027,
82,1,11.14497904,
83,1,11.57173417,
84,1,11.38793019,
85,1,13.491942,
86,1,10.35845521,
87,1,8.834436095,
88,1,10.18376794,
89,1,9.370764277,
90,1,11.82683934,
91,1,8.700661448,
92,1,10.50882369,
93,1,12.69397529,
94,1,7.791352545,
95,1,9.057199902,
96,1,12.16434933,
97,1,11.83768818,
98,1,15.3429928,
99,1,9.73548989,
100,1,11.54053234,
