ITU corrispondente,ritiro(0)/consegna(1)/entrambi(2),Orario di arrivo,Unnamed: 3
1,0,0,
2,0,0.19047619,
3,0,0.571428571,
4,0,0.714285714,
5,0,0.761904762,
6,0,0.80952381,
7,0,1.047619048,
8,0,1.142857143,
9,0,1.285714286,
10,0,1.428571429,
11,0,1.428571429,
12,0,1.80952381,
13,0,2.095238095,
14,0,2.333333333,
15,0,2.619047619,
16,0,2.904761905,
17,0,3,
18,0,3.142857143,
19,0,3.380952381,
20,0,3.523809524,
21,0,3.714285714,
22,0,3.952380952,
23,0,4.142857143,
24,0,4.428571429,
25,0,4.619047619,
26,1,4.761904762,
27,1,4.857142857,
28,1,5.142857143,
29,1,5.238095238,
30,1,5.380952381,
31,1,5.619047619,
32,1,5.80952381,
33,1,6.333333333,
34,1,6.523809524,
35,1,6.761904762,
36,1,6.952380952,
37,1,7.095238095,
38,1,7.333333333,
39,1,7.666666667,
40,1,8,
41,1,8.285714286,
42,1,8.714285714,
43,1,8.904761905,
44,1,9,
45,1,9.285714286,
46,1,9.571428571,
47,1,9.904761905,
48,1,10.14285714,
49,1,10.47619048,
50,1,10.76190476,
51,0,11.04761905,
52,0,11.42857143,
53,0,11.71428571,
54,0,12,
55,0,12.19047619,
56,0,12.28571429,
57,0,12.42857143,
58,0,12.66666667,
59,0,12.85714286,
60,0,13.33333333,
61,0,13.80952381,
62,0,14.19047619,
63,0,14.47619048,
64,0,14.66666667,
65,0,14.95238095,
66,0,15.23809524,
67,0,15.33333333,
68,0,15.80952381,
69,0,16,
70,0,16.0952381,
71,0,16.14285714,
72,0,16.33333333,
73,0,16.61904762,
74,0,16.9047619,
75,0,17.04761905,
76,1,17.38095238,
77,1,17.61904762,
78,1,18.23809524,
79,1,18.33333333,
80,1,18.61904762,
81,1,18.76190476,
82,1,18.95238095,
83,1,19.0952381,
84,1,19.42857143,
85,1,19.61904762,
86,1,19.9047619,
87,1,20.0952381,
88,1,20.19047619,
89,1,20.28571429,
90,1,20.61904762,
91,1,20.95238095,
92,1,21.23809524,
93,1,21.47619048,
94,1,21.71428571,
95,1,21.80952381,
96,1,21.9047619,
97,1,22.14285714,
98,1,22.47619048,
99,1,22.76190476,
100,1,23,
