ITU corrispondente,ritiro(0)/consegna(1)/entrambi(2),Orario di arrivo
1,0,15.01277052
2,0,13.97244529
3,0,14.83114097
4,0,16.47161601
5,0,15.14143611
6,0,14.43256561
7,0,15.40034491
8,0,12.57044407
9,0,13.48829389
10,0,13.04388532
11,0,15.84105845
12,0,15.24490483
13,0,15.790611
14,0,11.77407755
15,0,14.10016466
16,0,12.05135616
17,0,16.10778443
18,0,13.10561888
19,0,14.76093041
20,0,13.21079637
21,0,17.34691914
22,0,15.70026079
23,0,14.08601911
24,0,14.41676393
25,1,13.86133636
26,1,13.00202227
27,1,11.92429047
28,1,11.45161449
29,1,15.36842058
30,1,11.67069914
31,1,13.35324012
32,1,13.56176882
33,1,14.70776104
34,1,11.37803146
35,1,10.49089774
36,1,12.78542198
37,1,17.07709033
38,1,14.03071781
39,1,14.49849041
40,1,11.255582
41,1,11.28367807
42,1,12.93999271
43,1,14.52240333
44,1,14.60631672
45,1,13.74689441
46,1,13.75734362
47,1,14.64678377
48,1,14.42594634
49,1,14.05335206
50,1,16.14850012
51,0,12.7507932
52,0,11.66667148
53,0,13.11412981
54,0,13.32116984
55,0,14.27163609
56,0,15.62315081
57,0,16.0691841
58,0,16.35948877
59,0,15.14641174
60,0,13.65819779
61,0,16.23945256
62,0,14.87147686
63,0,10.67680159
64,0,15.75481833
65,0,12.52181425
66,0,14.1909242
67,0,15.37045896
68,0,18.40478575
69,0,16.3010831
70,0,14.07893383
71,0,16.66236502
72,0,13.8181445
73,0,13.43275026
74,0,12.75900028
75,0,12.2427407
76,1,18.6046348
77,1,9.423344415
78,1,12.89813549
79,1,16.03953807
80,1,12.29066014
81,1,15.3215825
82,1,15.29353906
83,1,15.3801494
84,1,13.57722853
85,1,11.93239747
86,1,14.92074317
87,1,17.00833475
88,1,13.21603182
89,1,15.1225807
90,1,14.39774643
91,1,13.34622225
92,1,11.97016388
93,1,13.37011174
94,1,16.73027937
95,1,15.25924931
96,1,12.44608869
97,1,15.05429808
98,1,14.96136708
99,1,13.92281639
100,1,16.84959673
