ITU corrispondente,ritiro(0)/consegna(1)/entrambi(2),Orario di arrivo
1,0,5
2,0,5.071071429
3,0,5.142142857
4,0,5.225059524
5,0,5.272440476
6,0,5.331666667
7,0,5.402738095
8,0,5.461964286
9,0,5.509345238
10,0,5.544880952
11,0,5.604107143
12,0,5.663333333
13,0,5.710714286
14,0,5.793630952
15,0,5.817321429
16,0,5.876547619
17,0,5.912083333
18,0,5.93577381
19,0,6.030535714
20,0,6.089761905
21,0,6.137142857
22,0,6.220059524
23,0,6.314821429
24,0,6.374047619
25,0,6.43327381
26,0,6.4925
27,0,6.563571429
28,0,6.610952381
29,0,6.68202381
30,0,6.705714286
31,0,6.80047619
32,0,6.847857143
33,0,6.918928571
34,0,6.966309524
35,0,7.013690476
36,0,7.108452381
37,0,7.167678571
38,0,7.250595238
39,0,7.345357143
40,0,7.416428571
41,0,7.475654762
42,0,7.558571429
43,0,7.641488095
44,0,7.700714286
45,0,7.748095238
46,0,7.771785714
47,0,7.842857143
48,0,7.878392857
49,0,7.949464286
50,0,8.020535714
51,1,8.067916667
52,1,8.127142857
53,1,8.17452381
54,1,8.281130952
55,1,8.328511905
56,1,8.446964286
57,1,8.494345238
58,1,8.565416667
59,1,8.636488095
60,1,8.67202381
61,1,8.766785714
62,1,8.79047619
63,1,8.873392857
64,1,8.968154762
65,1,9.062916667
66,1,9.145833333
67,1,9.216904762
68,1,9.276130952
69,1,9.323511905
70,1,9.370892857
71,1,9.453809524
72,1,9.53672619
73,1,9.619642857
74,1,9.66702381
75,1,9.714404762
76,1,9.749940476
77,1,9.78547619
78,1,9.880238095
79,1,9.939464286
80,1,9.963154762
81,1,10.03422619
82,1,10.09345238
83,1,10.17636905
84,1,10.21190476
85,1,10.33035714
86,1,10.40142857
87,1,10.43696429
88,1,10.4725
89,1,10.50803571
90,1,10.57910714
91,1,10.61464286
92,1,10.72125
93,1,10.80416667
94,1,10.82785714
95,1,10.91077381
96,1,10.97
97,1,11.01738095
98,1,11.07660714
99,1,11.13583333
100,1,11.19505952
101,0,11.24244048
102,0,11.27797619
103,0,11.3727381
104,0,11.40827381
105,0,11.49119048
106,0,11.52672619
107,0,11.58595238
108,0,11.64517857
109,0,11.68071429
110,0,11.72809524
111,0,11.8702381
112,0,11.94130952
113,0,12.02422619
114,0,12.07160714
115,0,12.09529762
116,0,12.19005952
117,0,12.23744048
118,0,12.32035714
119,0,12.37958333
120,0,12.42696429
121,0,12.49803571
122,0,12.5572619
123,0,12.56910714
124,0,12.64017857
125,0,12.71125
126,0,12.8060119
127,0,12.85339286
128,0,12.90077381
129,0,12.92446429
130,0,13.01922619
131,0,13.0547619
132,0,13.12583333
133,0,13.23244048
134,0,13.29166667
135,0,13.33904762
136,0,13.39827381
137,0,13.46934524
138,0,13.51672619
139,0,13.56410714
140,0,13.58779762
141,0,13.63517857
142,0,13.65886905
143,0,13.71809524
144,0,13.8010119
145,0,13.87208333
146,0,13.94315476
147,0,14.02607143
148,0,14.07345238
149,0,14.1089881
150,0,14.16821429
151,1,14.22744048
152,1,14.31035714
153,1,14.34589286
154,1,14.38142857
155,1,14.42880952
156,1,14.47619048
157,1,14.53541667
158,1,14.61833333
159,1,14.64202381
160,1,14.70125
161,1,14.76047619
162,1,14.81970238
163,1,14.86708333
164,1,14.87892857
165,1,14.91446429
166,1,14.93815476
167,1,14.98553571
168,1,15.0447619
169,1,15.12767857
170,1,15.16321429
171,1,15.24613095
172,1,15.31720238
173,1,15.34089286
174,1,15.42380952
175,1,15.47119048
176,1,15.49488095
177,1,15.57779762
178,1,15.62517857
179,1,15.70809524
180,1,15.74363095
181,1,15.80285714
182,1,15.87392857
183,1,15.89761905
184,1,15.99238095
185,1,16.05160714
186,1,16.12267857
187,1,16.20559524
188,1,16.27666667
189,1,16.33589286
190,1,16.40696429
191,1,16.45434524
192,1,16.51357143
193,1,16.58464286
194,1,16.5964881
195,1,16.64386905
196,1,16.69125
197,1,16.76232143
198,1,16.83339286
199,1,16.90446429
200,1,16.94
