ITU corrispondente,ritiro(0)/consegna(1)/entrambi(2),Orario di arrivo
1,0,6.5
2,0,6.55
3,0,6.6
4,0,6.65
5,0,6.7
6,0,6.75
7,0,6.8
8,0,6.85
9,0,6.9
10,0,6.95
11,0,7
12,0,7.05
13,0,7.1
14,0,7.15
15,0,7.2
16,0,7.25
17,0,7.3
18,0,7.35
19,0,7.4
20,0,7.45
21,0,7.5
22,0,7.55
23,0,7.6
24,0,7.65
25,0,7.7
26,0,7.75
27,0,7.8
28,0,7.85
29,0,7.9
30,0,7.95
31,0,8
32,0,8.05
33,0,8.1
34,0,8.15
35,0,8.2
36,0,8.25
37,0,8.3
38,0,8.35
39,0,8.4
40,0,8.45
41,0,8.5
42,0,8.55
43,0,8.6
44,0,8.65
45,0,8.7
46,0,8.75
47,0,8.8
48,0,8.85
49,0,8.9
50,1,8.95
51,1,9
52,1,9.05
53,1,9.1
54,1,9.15
55,1,9.2
56,1,9.25
57,1,9.3
58,1,9.35
59,1,9.4
60,1,9.45
61,1,9.5
62,1,9.55
63,1,9.6
64,1,9.65
65,1,9.7
66,1,9.75
67,1,9.8
68,1,9.85
69,1,9.9
70,1,9.95
71,1,10
72,1,10.05
73,1,10.1
74,1,10.15
75,1,10.2
76,1,10.25
77,1,10.3
78,1,10.35
79,1,10.4
80,1,10.45
81,1,10.5
82,1,10.55
83,1,10.6
84,1,10.65
85,1,10.7
86,1,10.75
87,1,10.8
88,1,10.85
89,1,10.9
90,1,10.95
91,1,11
92,1,11.05
93,1,11.1
94,1,11.15
95,1,11.2
96,1,11.25
97,1,11.3
98,1,11.35
99,1,11.4
100,0,11.45
101,0,15
102,0,15.05
103,0,15.1
104,0,15.15
105,0,15.2
106,0,15.25
107,0,15.3
108,0,15.35
109,0,15.4
110,0,15.45
111,0,15.5
112,0,15.55
113,0,15.6
114,0,15.65
115,0,15.7
116,0,15.75
117,0,15.8
118,0,15.85
119,0,15.9
120,0,15.95
121,0,16
122,0,16.05
123,0,16.1
124,0,16.15
125,0,16.2
126,0,16.25
127,0,16.3
128,0,16.35
129,0,16.4
130,0,16.45
131,0,16.5
132,0,16.55
133,0,16.6
134,0,16.65
135,0,16.7
136,0,16.75
137,0,16.8
138,0,16.85
139,0,16.9
140,0,16.95
141,0,17
142,0,17.05
143,0,17.1
144,0,17.15
145,0,17.2
146,0,17.25
147,0,17.3
148,0,17.35
149,0,17.4
150,1,17.45
151,1,19
152,1,19.05
153,1,19.1
154,1,19.15
155,1,19.2
156,1,19.25
157,1,19.3
158,1,19.35
159,1,19.4
160,1,19.45
161,1,19.5
162,1,19.55
163,1,19.6
164,1,19.65
165,1,19.7
166,1,19.75
167,1,19.8
168,1,19.85
169,1,19.9
170,1,19.95
171,1,20
172,1,20.05
173,1,20.1
174,1,20.15
175,1,20.2
176,1,20.25
177,1,20.3
178,1,20.35
179,1,20.4
180,1,20.45
181,1,20.5
182,1,20.55
183,1,20.6
184,1,20.65
185,1,20.7
186,1,20.75
187,1,20.8
188,1,20.85
189,1,20.9
190,1,20.95
191,1,21
192,1,21.05
193,1,21.1
194,1,21.15
195,1,21.2
196,1,21.25
197,1,21.3
198,1,21.35
199,1,21.4
200,1,21.45
